Date,Symbol,Stocks,Cmp,Drsi,Wrsi,Mrsi,Sector,Ema20,Ema50,Latest change,Weekly change,Monthly change
"8th Jan","NTPCGREEN","NTPCGREEN","92.46","44.88","40.35","33.32","power & utilities","93.58","94.96","-1.71","-4.79","-2.21"
"8th Jan","NIVABUPA","NIVABUPA","79.52","67.68","53.24","52.77","financials","75.72","76.10","4.17","5.80","5.46"
"8th Jan","ACMESOLAR","ACMESOLAR","228.99","42.23","42.38","42.01","realty","233.58","241.69","-0.724","-4.77","-3.58"
"8th Jan","SWIGGY","SWIGGY","352.85","29.13","39.58","37.90","i.t","385.61","395.99","-2.50","-8.87","-8.65"
"8th Jan","SAGILITY","SAGILITY","51.34","50.27","58.41","64.19","i.t","51.57","50.36","-1.25","-3.08","-1.31"
"8th Jan","AFCONS","AFCONS","375.65","36.24","36.72","37.39","realty","387.63","401.45","-0.648","-3.89","-2.91"
"8th Jan","WAAREEENER","WAAREEENER","2612.30","25.86","37.72","48.03","industrials","2888.19","3044.60","-2.27","-8.86","-11.99"
"8th Jan","HYUNDAI","HYUNDAI","2350.50","55.40","53.84","65.09","auto","2316.96","2336.06","-0.487","3.64","2.28"
"8th Jan","BAJAJHFL","BAJAJHFL","94.91","37.60","25.50","18.24","financials","96.40","100.15","-1.02","-1.77","0.615"
"8th Jan","RAYMONDLSL","RAYMONDLSL","984.30","38.34","38.86","20.37","textiles","1036.07","1083.68","-1.76","-5.03","-5.58"
"8th Jan","PREMIERENE","PREMIERENE","730.25","16.22","25.31","38.24","services","844.59","913.28","-2.90","-13.67","-13.29"
"8th Jan","FIRSTCRY","FIRSTCRY","284.40","39.98","33.28","19.74","consumer discretionary","292.33","308.40","-1.39","-1.86","-0.871"
"8th Jan","OLAELEC","OLAELEC","40.46","54.80","42.85","21.64","auto","38.73","40.72","-4.37","-1.05","11.64"
"8th Jan","AKUMS","AKUMS","446.80","54.42","44.14","25.69","healthcare","442.47","442.34","-1.75","-1.12","-1.46"
"8th Jan","EMCURE","EMCURE","1521.80","66.69","63.09","56.99","healthcare","1438.98","1408.19","-0.354","6.35","11.53"
"8th Jan","GODIGIT","GODIGIT","335.90","37.59","44.83","53.48","financials","344.46","347.92","-0.841","-3.02","-2.52"
"8th Jan","TBOTEK","TBOTEK","1536","33.09","49.05","52.57","i.t","1639.76","1630.39","-2.51","-6.24","-7.62"
"8th Jan","AADHARHFC","AADHARHFC","488","48.82","49.73","62.12","financials","489.55","491.97","-1.65","-2.51","0.608"
"8th Jan","INDGN","INDGN","520.20","43.93","41.09","49.32","healthcare","523.98","529.33","0.019","-0.450","-0.048"
"8th Jan","BHARTIHEXA","BHARTIHEXA","1753.60","44.70","50.56","67.22","telecom-service","1783.75","1776.81","-1.52","-2.69","-3.74"
"8th Jan","JYOTICNC","JYOTICNC","939.05","41.07","46.53","54.27","industrials","969.54","961.86","-2.30","-5.52","-5.08"
"8th Jan","INOXINDIA","INOXINDIA","1162.50","57.29","51.20","58.44","industrials","1134.04","1149.52","1.88","2.80","2.50"
"8th Jan","DOMS","DOMS","2559.30","47.25","50.56","64.62","miscellaneous","2587.67","2564.98","-1.80","-4.29","-2.15"
"8th Jan","TATATECH","TATATECH","661.65","51.06","43.18","27.67","i.t","657.38","666.17","-3.20","0.869","2.90"
"8th Jan","IREDA","IREDA","141.18","51.26","44.30","55.09","financials","140.40","142.06","-3.32","-3.72","0.915"
"8th Jan","HONASA","HONASA","294.65","59.83","54.45","44.28","services","283.24","280.87","-1.80","0.649","2.93"
"8th Jan","JSWINFRA","JSWINFRA","272.75","41.62","40.93","54.76","transportation","278.85","281.76","-0.980","-4.42","-4.23"
"8th Jan","SIGNATURE","SIGNATURE","991.60","19.46","34.02","53.64","realty","1111.69","1111.05","-10.29","-12.01","-12.05"
"8th Jan","NUVAMA","NUVAMA","1449","48.00","53.12","64.53","financials","1463.31","1447.23","-2.02","-1.31","-2.13"
"8th Jan","RRKABEL","RRKABEL","1519.80","61.48","65.07","55.64","industrials","1478.05","1423.02","-1.19","0.616","4.62"
"8th Jan","CONCORDBIO","CONCORDBIO","1345.60","45.10","38.13","47.34","healthcare","1355.03","1406.25","-1.79","2.60","0"
"8th Jan","SBFC","SBFC","102.36","39.47","43.64","54.03","financials","104.08","106.04","-1.06","-0.612","-1.62"
"8th Jan","NETWEB","NETWEB","3397.40","59.08","57.06","64.09","i.t","3229.68","3266.45","0.861","12.34","9.21"
"8th Jan","JIOFIN","JIOFIN","293.55","43.72","45.14","53.80","financials","298.10","300.84","-3.28","-2.70","-0.475"
"8th Jan","MANKIND","MANKIND","2261.20","56.25","43.50","53.69","healthcare","2209.99","2249.30","-2.19","2.66","2.95"
"8th Jan","NSLNISP","NSLNISP","42.83","49.94","51.72","51.61","metals & mining","43.09","42.65","-6.89","-6.26","-3.21"
"8th Jan","KFINTECH","KFINTECH","1064","45.64","46.21","54.67","financials","1076.50","1080.15","-0.968","-1.66","-1.66"
"8th Jan","KAYNES","KAYNES","3719.90","28.66","24.84","44.64","consumer discretionary","4138.87","4868.14","-2.91","-6.47","-7.30"
"8th Jan","FIVESTAR","FIVESTAR","516.65","29.48","36.24","40.84","financials","550.25","567.61","-2.87","-2.93","-5.26"
"8th Jan","MEDANTA","MEDANTA","1201","50.81","45.30","56.41","healthcare","1194.87","1216.79","-3.03","-1.32","1.23"
"8th Jan","BIKAJI","BIKAJI","710.65","39.28","43.91","53.21","fmcg","731.15","731.23","-1.31","-3.39","-5.22"
"8th Jan","PPLPHARMA","PPLPHARMA","172.71","43.20","38.09","44.76","healthcare","176.22","181.50","-4.48","-3.23","0.290"
"8th Jan","SYRMA","SYRMA","737.25","45.61","49.72","62.59","consumer discretionary","743.51","764.50","-1.62","-0.627","0.559"
"8th Jan","DELHIVERY","DELHIVERY","417.45","54.08","49.65","51.03","transportation","410.74","419.98","-1.14","3.20","3.37"
"8th Jan","LICI","LICI","837.80","37.37","40.11","46.92","financials","854.95","869.46","-1.66","-2.68","-2.00"
"8th Jan","RAINBOW","RAINBOW","1282","32.65","37.58","50.08","healthcare","1323.22","1344.05","-0.643","-2.80","-2.88"
"8th Jan","CAMPUS","CAMPUS","259.30","42.30","43.77","45.77","consumer discretionary","262.29","266.63","0.465","-0.974","-1.01"
"8th Jan","MSUMI","MSUMI","48.66","53.90","58.24","61.19","auto","48.10","47.07","-3.14","-2.39","0.288"
"8th Jan","MANYAVAR","MANYAVAR","550.40","31.12","17.75","30.08","consumer discretionary","579.76","608.53","-1.26","-5.05","-5.45"
"8th Jan","AWL","AWL","227.85","27.02","32.46","38.35","fmcg","239.08","249.02","-0.520","-3.56","-3.98"
"8th Jan","DATAPATTNS","DATAPATTNS","2684.40","50.36","49.96","54.84","aerospace & defence","2666.79","2710.43","-0.334","2.39","2.20"
"8th Jan","MAPMYINDIA","MAPMYINDIA","1641.50","41.54","42.04","45.85","i.t","1690.45","1699.34","-3.29","-3.54","-4.96"
"8th Jan","ANANDRATHI","ANANDRATHI","3142.30","65.41","69.13","76.60","financials","3063.32","3009.43","-0.752","2.04","0.961"
"8th Jan","STARHEALTH","STARHEALTH","447.65","39.48","46.33","43.70","financials","457.89","466.29","0.697","-2.63","-1.62"
"8th Jan","LATENTVIEW","LATENTVIEW","447.95","38.96","50.35","49.20","i.t","465.31","464.02","-3.27","-2.43","-2.34"
"8th Jan","SAPPHIRE","SAPPHIRE","221.35","35.00","31.39","36.36","consumer discretionary","241.36","253.31","-3.36","-12.16","-13.89"
"8th Jan","PAYTM","PAYTM","1301.80","47.73","59.10","63.47","i.t","1313.64","1296.95","-1.29","-2.89","0.223"
"8th Jan","POLICYBZR","POLICYBZR","1693.90","32.13","43.73","54.81","i.t","1814.05","1819.43","-1.49","-4.93","-7.21"
"8th Jan","NYKAA","NYKAA","256.65","46.10","57.94","59.74","i.t","260.41","256.88","-3.64","-3.11","-3.21"
"8th Jan","ABSLAMC","ABSLAMC","818.65","56.64","56.25","59.51","financials","802.77","786.09","-4.11","-1.79","1.66"
"8th Jan","VIJAYA","VIJAYA","1011.90","45.62","49.41","58.21","healthcare","1028.87","1021.85","-1.87","-4.47","-4.63"
"8th Jan","APTUS","APTUS","279.70","43.59","39.14","42.15","financials","284.34","290.17","-3.25","-1.44","0.215"
"8th Jan","DEVYANI","DEVYANI","136.62","43.85","39.94","42.16","consumer discretionary","140.17","144.06","-1.82","-7.73","-7.66"
"8th Jan","ALIVUS","ALIVUS","903.25","49.67","43.59","49.67","healthcare","904.63","908.32","-1.85","-1.07","-1.46"
"8th Jan","ETERNAL","ETERNAL","283.55","44.52","44.47","59.97","i.t","285.27","295.26","0.925","-0.211","1.98"
"8th Jan","CLEAN","CLEAN","857.45","34.95","24.33","35.44","chemicals","882.69","928.18","-1.32","-1.42","-2.12"
"8th Jan","KIMS","KIMS","609.15","37.35","37.07","54.57","healthcare","636.55","662.08","-2.59","-3.65","0.090"
"8th Jan","SHYAMMETL","SHYAMMETL","802.40","39.80","40.16","53.57","metals & mining","825.66","838.69","-2.99","-5.63","-5.34"
"8th Jan","SONACOMS","SONACOMS","462.85","36.41","45.47","44.52","auto","481.23","480.95","-2.31","-4.83","-3.45"
"8th Jan","LODHA","LODHA","1090.20","46.83","39.66","48.73","realty","1093.74","1121.68","-1.86","0.414","2.72"
"8th Jan","KALYANKJIL","KALYANKJIL","511.80","61.04","51.22","53.54","consumer discretionary","493.76","493.46","-1.72","3.25","5.45"
"8th Jan","CRAFTSMAN","CRAFTSMAN","7667","59.22","67.52","69.59","auto","7453.71","7155.11","-1.78","-4.32","-0.293"
"8th Jan","JUBLINGREA","JUBLINGREA","707.40","49.36","50.82","55.42","chemicals","712.70","704.14","-3.00","-2.60","0.561"
"8th Jan","RAILTEL","RAILTEL","353.40","48.64","47.89","51.10","telecom-service","357.91","354.86","-4.15","-6.05","-4.88"
"8th Jan","HOMEFIRST","HOMEFIRST","1037.10","26.29","39.21","48.15","financials","1106.51","1142.26","-2.05","-6.15","-5.91"
"8th Jan","IRFC","IRFC","124.27","54.28","49.57","51.33","financials","122.88","121.36","-2.94","-3.28","-0.281"
"8th Jan","GLAND","GLAND","1694.80","45.85","40.13","47.67","healthcare","1700.36","1751.93","-0.796","-1.22","-1.58"
"8th Jan","MAZDOCK","MAZDOCK","2480.40","44.21","40.59","55.53","aerospace & defence","2508.19","2588.40","-1.23","-0.565","-0.394"
"8th Jan","UTIAMC","UTIAMC","1110.30","41.84","38.29","51.08","financials","1129.34","1164.12","-2.22","-1.54","-1.70"
"8th Jan","ANGELONE","ANGELONE","2412.60","42.37","44.85","50.25","financials","2469.64","2516.83","-2.35","1.03","2.93"
"8th Jan","CAMS","CAMS","745.90","46.05","44.80","51.86","financials","752.12","761.02","-1.44","-1.41","0.675"
"8th Jan","ROUTE","ROUTE","693.80","48.20","33.70","29.09","i.t","698.80","710.27","-1.46","-2.33","-1.14"
"8th Jan","HAPPSTMNDS","HAPPSTMNDS","451.70","35.95","25.86","29.27","i.t","472.17","490.38","-2.52","-3.09","-1.89"
"8th Jan","MAXHEALTH","MAXHEALTH","1029.80","35.48","38.47","53.90","healthcare","1062.55","1094.39","-0.474","-3.09","-1.46"
"8th Jan","POWERINDIA","POWERINDIA","18444","43.16","48.57","61.28","industrials","18978.03","19341.42","-5.81","-1.91","0.732"
"8th Jan","SBICARD","SBICARD","872.15","50.66","49.83","55.22","financials","870.21","872.21","-1.52","-0.434","1.21"
"8th Jan","COHANCE","COHANCE","492.85","20.44","19.77","33.45","healthcare","528.39","599.16","-2.07","-4.91","-6.76"
"8th Jan","SUMICHEM","SUMICHEM","445.45","37.94","38.18","45.14","chemicals","462.33","473.60","-3.09","-4.96","-5.42"
"8th Jan","FLUOROCHEM","FLUOROCHEM","3490.50","42.31","45.20","49.72","chemicals","3565.15","3561.89","-0.513","-4.32","-4.79"
"8th Jan","IRCTC","IRCTC","656.45","37.22","35.80","40.25","transportation","678.88","687.93","-2.43","-5.53","-4.11"
"8th Jan","360ONE","360ONE","1182.90","55.44","57.32","63.70","financials","1172.68","1147.57","-0.747","-1.43","-0.597"
"8th Jan","SWSOLAR","SWSOLAR","204.23","38.31","31.79","34.61","realty","214.19","222.20","-3.75","-6.30","-4.65"
"8th Jan","AFFLE","AFFLE","1793.40","57.90","49.38","57.42","i.t","1761.53","1767.45","-0.356","0.600","-0.333"
"8th Jan","INDIAMART","INDIAMART","2166.90","37.38","33.72","42.39","i.t","2220.38","2290.92","0.092","-0.500","-2.55"
"8th Jan","KPITTECH","KPITTECH","1180.30","47.83","45.46","46.90","i.t","1187.84","1197.54","-2.33","1.09","0.665"
"8th Jan","POLYCAB","POLYCAB","7750.50","58.05","63.05","65.83","industrials","7599.06","7504.63","-1.86","-0.609","1.73"
"8th Jan","METROPOLIS","METROPOLIS","1916.10","47.73","47.83","51.99","healthcare","1936.47","1943.68","-3.64","-0.890","-0.664"
"8th Jan","RVNL","RVNL","342.55","50.56","49.67","51.42","realty","345.51","336.28","-4.16","-6.37","-4.11"
"8th Jan","CHALET","CHALET","874","46.83","44.38","55.87","services","879.97","895.34","-0.557","-3.16","0.396"
"8th Jan","TECHNOE","TECHNOE","1030","36.61","32.65","46.18","realty","1089.50","1156.56","-3.01","-7.32","-4.81"
"8th Jan","ATGL","ATGL","564.15","39.01","38.80","38.81","energy","577.63","591.84","-1.29","-3.99","-0.450"
"8th Jan","GRSE","GRSE","2459.40","48.32","48.21","59.53","aerospace & defence","2462.48","2517.89","-1.77","0.919","0.626"
"8th Jan","AAVAS","AAVAS","1459.90","41.14","40.67","42.84","financials","1482.28","1535.85","-0.497","1.14","-0.280"
"8th Jan","IRCON","IRCON","169.78","52.35","49.57","49.01","realty","169.42","166.77","-4.31","-5.27","-4.43"
"8th Jan","CREDITACC","CREDITACC","1336.70","56.19","53.81","55.44","financials","1301.90","1315.93","-0.246","3.81","4.95"
"8th Jan","HDFCAMC","HDFCAMC","2583","41.38","45.79","65.83","financials","2640.41","2669.48","-1.58","-2.79","-3.34"
"8th Jan","RITES","RITES","236.61","47.75","44.78","45.82","miscellaneous","239.02","240.42","-2.53","-3.77","-2.55"
"8th Jan","ADANIGREEN","ADANIGREEN","988.80","38.84","45.73","43.55","power & utilities","1018.90","1025.85","-2.98","-4.81","-2.59"
"8th Jan","LEMONTREE","LEMONTREE","150.85","38.18","44.37","56.66","services","156.86","159.13","-1.27","-2.04","-5.28"
"8th Jan","HAL","HAL","4479.80","53.87","47.39","57.35","aerospace & defence","4430.90","4490.89","-1.00","1.40","2.08"
"8th Jan","BANDHANBNK","BANDHANBNK","144.98","44.41","41.74","37.86","bank","146.80","150.40","-1.80","0.360","-0.576"
"8th Jan","BDL","BDL","1533.60","60.84","50.94","57.49","aerospace & defence","1481.43","1485.82","-0.383","2.58","4.58"
"8th Jan","ASTERDM","ASTERDM","615.10","45.75","48.55","64.82","healthcare","618.20","632.94","-0.958","0.196","-0.284"
"8th Jan","AMBER","AMBER","6527","42.81","39.20","54.53","consumer discretionary","6640.47","6951.05","-1.89","0.686","2.19"
"8th Jan","NEWGEN","NEWGEN","828.65","42.19","37.69","47.59","i.t","843.44","868.08","-0.927","-1.37","-1.95"
"8th Jan","NIACL","NIACL","150.78","33.87","35.27","42.33","financials","157.06","165.92","-2.07","-3.99","-3.23"
"8th Jan","HDFCLIFE","HDFCLIFE","758.15","48.73","51.25","56.71","financials","760.27","760.67","-1.84","0.437","1.11"
"8th Jan","NAM-INDIA","NAM-INDIA","895","55.87","58.25","71.84","financials","880.12","870.90","-0.611","0.303","1.75"
"8th Jan","TIINDIA","TIINDIA","2507.50","31.46","31.46","40.33","industrials","2607.97","2746.47","-0.787","-3.47","-4.08"
"8th Jan","IEX","IEX","150.09","62.35","51.12","47.24","financials","141.20","141.47","-3.03","11.71","11.82"
"8th Jan","GICRE","GICRE","369.85","43.58","45.54","52.68","financials","375.39","377.75","-0.605","-2.56","-2.88"
"8th Jan","GODREJAGRO","GODREJAGRO","559.30","38.74","30.34","40.58","fmcg","572.39","595.97","-2.03","-2.55","-2.08"
"8th Jan","ICICIGI","ICICIGI","1908.20","37.21","46.50","55.12","financials","1961.37","1964.19","-2.95","-3.33","-2.75"
"8th Jan","SBILIFE","SBILIFE","2082.90","64.24","71.10","71.14","financials","2040.83","1998.46","0.584","0.750","2.36"
"8th Jan","ABCAPITAL","ABCAPITAL","358.55","58.01","69.79","75.17","financials","354.38","342.34","-0.706","-0.747","0.238"
"8th Jan","DIXON","DIXON","11987","34.35","29.87","48.19","consumer discretionary","12550.29","13692.09","1.84","-1.46","-0.950"
"8th Jan","COCHINSHIP","COCHINSHIP","1580.40","40.12","42.02","53.20","aerospace & defence","1617.69","1657.31","-1.73","-2.98","-2.45"
"8th Jan","ERIS","ERIS","1534.40","45.52","44.65","60.10","healthcare","1547.51","1574.07","-1.25","0.059","1.91"
"8th Jan","TEJASNET","TEJASNET","441.70","34.61","23.89","34.60","telecom","457.62","487.35","-1.65","-2.55","-1.77"
"8th Jan","CDSL","CDSL","1438.20","37.23","41.65","54.60","financials","1483.37","1522.16","-2.53","-1.94","-0.374"
"8th Jan","AUBANK","AUBANK","992.10","57.72","76.58","68.20","bank","986.57","942.84","-1.24","-0.730","-0.241"
"8th Jan","HUDCO","HUDCO","217.53","44.30","47.25","53.73","financials","222.56","223.82","-4.10","-6.00","-4.65"
"8th Jan","DMART","DMART","3789.80","46.76","37.50","45.64","consumer discretionary","3795.10","3929.18","-1.35","1.88","0.201"
"8th Jan","BSE","BSE","2694","50.64","57.71","67.83","financials","2686.89","2656.11","-1.85","1.03","2.35"
"8th Jan","SUNDARMFIN","SUNDARMFIN","5252","62.49","62.16","62.63","financials","5116.21","4922.44","-1.15","-0.775","-0.583"
"8th Jan","FACT","FACT","891.15","53.34","49.44","55.73","chemicals","882.22","883.59","1.94","-1.86","-2.33"
"8th Jan","KARURVYSYA","KARURVYSYA","274.60","66.04","77.93","76.79","bank","261.65","251.45","1.67","0.771","4.08"
"8th Jan","LAURUSLABS","LAURUSLABS","1100.90","63.71","75.28","81.86","healthcare","1076.58","1026.05","-2.45","-0.506","-0.641"
"8th Jan","VBL","VBL","500.90","62.16","56.92","52.52","fmcg","487.13","478.11","-1.73","1.44","2.26"
"8th Jan","PNBHOUSING","PNBHOUSING","979.55","59.03","57.72","56.84","financials","956.82","927.66","-2.47","-1.85","2.95"
"8th Jan","ENDURANCE","ENDURANCE","2611.20","49.46","48.00","57.40","auto","2599.33","2660.12","0.458","2.80","0.822"
"8th Jan","ICICIPRULI","ICICIPRULI","681.35","69.36","67.01","57.94","financials","660.83","640.54","-0.475","0.450","1.96"
"8th Jan","LTTS","LTTS","4421.50","47.92","51.97","49.04","i.t","4458.25","4410.40","0.658","0.338","-0.912"
"8th Jan","BLS","BLS","306.90","38.05","37.19","47.24","i.t","317.31","322.19","-2.21","-3.13","-4.42"
"8th Jan","RBLBANK","RBLBANK","309.85","49.92","62.41","65.07","bank","310.78","306.56","-2.76","-3.40","-1.88"
"8th Jan","LTIM","LTIM","6018","45.34","60.37","57.99","i.t","6092.04","5978.15","-1.38","-0.808","-0.750"
"8th Jan","MGL","MGL","1059.80","30.24","31.89","41.88","energy","1120.78","1168.84","-0.170","-7.20","-6.72"
"8th Jan","CROMPTON","CROMPTON","257.65","48.62","29.78","37.57","consumer discretionary","257.30","265.80","-2.20","2.20","2.14"
"8th Jan","NH","NH","1910.90","52.56","55.27","66.42","healthcare","1898.27","1879.89","-0.500","-0.531","0.999"
"8th Jan","LALPATHLAB","LALPATHLAB","1453.40","46.53","44.45","51.65","healthcare","1463.82","1492.99","-1.38","-1.41","-1.97"
"8th Jan","ALKEM","ALKEM","5793","62.82","64.72","63.09","healthcare","5617.62","5593.86","-0.233","3.59","5.20"
"8th Jan","INDIGO","INDIGO","4906.50","32.44","38.23","54.54","transportation","5097.91","5310.73","-0.899","-3.91","-3.02"
"8th Jan","IDFCFIRSTB","IDFCFIRSTB","86.07","63.23","69.06","62.89","bank","84.22","81.66","1.98","0.175","0.537"
"8th Jan","GUJGASLTD","GUJGASLTD","428","62.25","52.04","45.38","energy","412.99","409.85","-1.19","-1.90","3.83"
"8th Jan","SYNGENE","SYNGENE","632.90","40.21","45.58","44.92","healthcare","649.75","647.69","-3.63","-3.87","-2.78"
"8th Jan","ADANIENSOL","ADANIENSOL","994.30","46.02","56.51","50.08","power & utilities","1014.58","988.46","-3.79","-6.01","-3.22"
"8th Jan","AIIL","AIIL","3121.10","63.72","62.00","73.34","financials","2958.26","2888.68","0.876","2.47","-0.393"
"8th Jan","PNCINFRA","PNCINFRA","245.90","41.18","31.78","38.99","realty","251.43","259.60","-0.747","-3.63","-2.30"
"8th Jan","INOXWIND","INOXWIND","117.88","33.07","33.33","44.52","industrials","125.31","131.84","-4.12","-7.93","-4.57"
"8th Jan","PTCIL","PTCIL","17567","43.99","56.42","64.57","industrials","18027.38","17666.32","-0.374","-2.96","-5.46"
"8th Jan","MINDACORP","MINDACORP","586.75","48.92","56.22","63.87","auto","589.41","584.02","-1.55","-2.61","2.20"
"8th Jan","INTELLECT","INTELLECT","943.10","38.94","43.32","51.37","i.t","993.64","1023.08","-4.87","-1.89","-2.87"
"8th Jan","SAMMAANCAP","SAMMAANCAP","146.33","46.72","48.70","48.61","financials","147.19","151.31","-2.41","-1.53","0.474"
"8th Jan","ABFRL","ABFRL","75.14","43.32","40.75","43.83","consumer discretionary","76.83","77.98","-2.78","-3.86","-2.14"
"8th Jan","JUSTDIAL","JUSTDIAL","734.10","51.42","37.90","42.43","i.t","729.53","744.34","-1.40","-0.082","1.21"
"8th Jan","INDUSTOWER","INDUSTOWER","430.85","60.70","63.21","62.63","telecom","421.99","406.87","0.431","-2.53","2.89"
"8th Jan","RTNINDIA","RTNINDIA","39.69","36.62","33.52","41.07","financials","41.37","43.89","-2.98","-6.17","-3.83"
"8th Jan","NBCC","NBCC","112.09","41.68","50.41","57.33","miscellaneous","116.85","114.92","-3.41","-8.62","-7.95"
"8th Jan","SCHNEIDER","SCHNEIDER","657.50","33.16","35.29","49.08","industrials","714.87","748.14","-7.41","-8.34","-9.05"
"8th Jan","MCX","MCX","2231","61.15","77.13","78.15","financials","2162.06","2040.37","-3.21","0.677","0.171"
"8th Jan","RHIM","RHIM","463.20","52.72","49.34","44.27","building materials","459.11","459.26","-3.61","1.74","0.904"
"8th Jan","APLAPOLLO","APLAPOLLO","1913.90","60.77","65.36","65.57","industrials","1876.16","1813.72","-1.84","-0.932","-0.005"
"8th Jan","TRITURBINE","TRITURBINE","530.40","45.45","46.02","49.93","industrials","536.14","535.82","-0.478","-1.92","-1.46"
"8th Jan","PGEL","PGEL","608.40","58.17","49.47","53.62","consumer discretionary","590.05","580.74","-2.25","0.946","5.75"
"8th Jan","APLLTD","APLLTD","814.75","27.15","32.91","44.69","healthcare","847.75","876.16","-1.09","-2.43","-3.71"
"8th Jan","LTF","LTF","307.30","50.99","67.48","77.80","financials","308.79","296.75","-2.12","-3.89","-2.74"
"8th Jan","MUTHOOTFIN","MUTHOOTFIN","3853.80","56.26","76.70","85.81","financials","3821.18","3656.36","-2.68","0.864","1.10"
"8th Jan","ZENTEC","ZENTEC","1330","40.73","38.45","49.89","aerospace & defence","1362.99","1386.40","0.758","-2.38","-2.81"
"8th Jan","DALBHARAT","DALBHARAT","2066.20","46.58","46.69","52.19","building materials","2092.38","2091.82","-2.59","-3.77","-3.04"
"8th Jan","KIRLOSENG","KIRLOSENG","1181.30","46.81","62.64","62.76","industrials","1216.88","1147.96","-3.29","-6.33","-3.08"
"8th Jan","GRAVITA","GRAVITA","1726.90","34.43","47.85","54.71","metals & mining","1818.73","1787.43","-3.23","-7.18","-7.05"
"8th Jan","COALINDIA","COALINDIA","425.25","73.08","66.12","58.96","metals & mining","405.74","394.50","-1.48","-0.619","6.58"
"8th Jan","PRESTIGE","PRESTIGE","1589.40","42.87","46.99","57.08","realty","1623.19","1640.19","-1.86","-1.82","-0.339"
"8th Jan","OBEROIRLTY","OBEROIRLTY","1722","58.42","52.82","53.86","realty","1687.31","1678.37","0.778","-0.462","3.08"
"8th Jan","JWL","JWL","304.60","47.69","45.75","45.73","industrials","312.98","307.80","-5.36","-9.95","-10.35"
"8th Jan","GPPL","GPPL","185.54","51.05","62.35","58.35","transportation","185.80","180.74","-1.87","1.77","1.93"
"8th Jan","SJVN","SJVN","80.12","54.64","42.21","43.92","power & utilities","78.03","79.58","-3.48","-3.52","7.17"
"8th Jan","PERSISTENT","PERSISTENT","6444.50","56.89","63.30","64.23","i.t","6318.73","6178.03","-1.06","2.46","2.75"
"8th Jan","DBREALTY","DBREALTY","115.57","38.57","28.43","42.17","realty","120.46","130.04","-2.34","-4.13","-2.51"
"8th Jan","JUBLFOOD","JUBLFOOD","525.95","28.25","31.85","42.51","consumer discretionary","557.64","576.65","-2.13","-4.88","-5.84"
"8th Jan","GODREJPROP","GODREJPROP","2095.10","54.47","48.38","48.06","realty","2063.11","2081.08","-2.02","1.29","4.53"
"8th Jan","JSWENERGY","JSWENERGY","499.70","54.46","47.77","49.56","power & utilities","492.59","496.09","-2.52","-2.14","3.58"
"8th Jan","OIL","OIL","409.95","46.32","47.25","52.29","energy","414.77","415.32","-2.02","-4.41","-3.39"
"8th Jan","NHPC","NHPC","82.17","61.24","50.98","53.58","power & utilities","80.01","80.06","-1.78","-1.73","3.72"
"8th Jan","ADANIPOWER","ADANIPOWER","142.89","45.36","53.80","63.43","power & utilities","144.98","145.57","-2.38","-3.56","-0.070"
"8th Jan","ZFCVINDIA","ZFCVINDIA","14466","47.52","55.42","55.62","auto","14749.59","14243.86","-2.79","-3.82","-2.77"
"8th Jan","BAJAJFINSV","BAJAJFINSV","2008.90","40.02","47.97","58.36","financials","2038.84","2048.57","-1.13","-1.45","-1.52"
"8th Jan","BAJAJ-AUTO","BAJAJ-AUTO","9760.50","71.65","68.96","63.60","auto","9337.33","9139.56","-0.296","2.72","4.47"
"8th Jan","TITAGARH","TITAGARH","824.80","44.98","46.21","47.67","industrials","848.07","846.08","-3.52","-7.36","-7.53"
"8th Jan","RECLTD","RECLTD","371.40","58.45","48.86","48.04","financials","363.02","361.20","-3.60","-2.43","4.09"
"8th Jan","VGUARD","VGUARD","323.30","38.50","33.54","43.63","industrials","330.84","339.99","-1.58","-2.25","-1.43"
"8th Jan","IRB","IRB","42.14","48.94","43.34","45.62","realty","42.17","42.57","-0.449","-1.57","0.214"
"8th Jan","KNRCON","KNRCON","148.94","39.85","34.98","34.69","realty","157.49","164.17","-2.72","-7.51","-8.50"
"8th Jan","RPOWER","RPOWER","34.34","41.85","38.63","47.86","power & utilities","35.81","38.18","-1.94","-4.43","-1.46"
"8th Jan","BRIGADE","BRIGADE","868.70","42.15","39.27","45.59","realty","884.94","903.54","-2.05","-2.44","-1.84"
"8th Jan","TARIL","TARIL","291.50","46.73","36.13","44.88","industrials","299.69","324.35","-9.25","-13.35","2.19"
"8th Jan","ECLERX","ECLERX","4751.40","54.50","62.38","71.41","i.t","4679.65","4572.05","-0.434","0.633","1.19"
"8th Jan","JYOTHYLAB","JYOTHYLAB","266.35","30.66","24.37","37.33","fmcg","282.27","292.97","-3.58","-6.31","-5.77"
"8th Jan","ADANIPORTS","ADANIPORTS","1465.20","43.08","53.97","60.80","transportation","1482.65","1476.68","-0.007","-1.63","-0.313"
"8th Jan","POWERGRID","POWERGRID","259.30","39.28","35.34","46.54","power & utilities","265.73","270.08","-1.82","-4.30","-2.00"
"8th Jan","MOTILALOFS","MOTILALOFS","823.80","37.79","40.74","57.41","financials","862.62","895.47","-2.88","-4.95","-3.73"
"8th Jan","KPRMILL","KPRMILL","849.60","23.32","32.17","45.96","consumer discretionary","935.88","985.12","-4.08","-6.61","-9.85"
